1;00001;001157;20/03/23;018;US$
2;CO-T2318;000040;000040;101;16,2
2;CO-T2320;000040;000040;83;16,2
2;CO-T2316;000040;000040;84;16,2
2;COL-3120;000040;000040;72;14,4
2;COL-3140;000040;000040;2;14,4
2;CO-T2322;000040;000040;50;16,2
2;CO-T2314;000040;000040;42;16,2
2;CO-3100;000040;000040;10;12,6
2;30-0233;000040;000040;12;27,9
2;30-0237;000040;000040;2;27,9
2;70-0169;000040;000040;3;140,4
2;CO-T2324;000040;000040;13;16,2
2;70-0147;000040;000040;2;140,4
2;AT2-C20;000040;000040;3;66,6
2;3004-23012;000040;000040;12;23,4
2;COL-2120;000040;000040;6;14,4
2;CO-N2320;000040;000040;3;14,4
2;CO-N2318;000040;000040;2;14,4
2;ATM-200-S;000040;000040;2;38,7
2;PL-DR30L;000040;000040;5;144
2;3004-15014;000040;000040;2;18
2;70-0352;000040;000040;5;243,9
2;COL-2140;000040;000040;5;14,4
2;CO-3340;000040;000040;1;17
2;CO-T2312;000040;000040;5;16,2
2;3012-23014;000040;000040;8;18
2;7005-08003;000040;000040;8;85,5
2;7005-08010;000040;000040;8;85,5
2;COL-2160;000040;000040;6;14,4
2;AT-1225-S;000040;000040;2;43,2
2;PL-DR30R;000040;000040;5;152
2;CO-3320;000040;000040;3;16,2
2;70-0173;000040;000040;1;140,4
2;COL-3450;000040;000040;1;18,8
2;3012-23013;000040;000040;5;18
2;ATM-140-S;000040;000040;3;38,7
2;ATM-160-S;000040;000040;2;38,7
2;ATM-180-S;000040;000040;4;38,7
2;3004-23008;000040;000040;1;20
2;70-0370;000040;000040;1;243,9
2;7005-13005;000040;000040;2;91,8
2;PL-DR50L;000040;000040;11;148
2;PL-DR50R;000040;000040;10;152
2;70-0227;000040;000040;2;140,4
2;70-0355;000040;000040;1;243,9
2;70-0247;000040;000040;2;140,4
2;70-0354;000040;000040;3;243,9
2;PL-CL8LL;000040;000040;1;155,7
2;AP-0070-S;000040;000040;1;72
2;AT2-C08;000040;000040;9;66,6
2;AT2-S16;000040;000040;2;66,6
2;PL-CL10LR;000040;000040;1;155,7
2;PL-CL8LR;000040;000040;1;155,7
2;AP-6750-S;000040;000040;1;66
2;AT-1150-S;000040;000040;2;43,2
2;ATM-120-S;000040;000040;3;38,7
2;PL-CL8ML;000040;000040;1;155,7
2;30-0256;000040;000040;2;18
2;70-0109;000040;000040;2;195,96
2;70-0142;000040;000040;2;153
2;70-0245;000040;000040;2;140,4
2;MS-LDG23;000040;000040;6;62
2;PL-CL6SL;000040;000040;1;155,7
