1;00001;001178;04/10/2023;021;US$
2;70-0331;000040;000040;3;233,7
2;70-0334;000040;000040;3;233,7
2;70-0335;000040;000040;3;233,7
2;70-0336;000040;000040;3;233,7
2;70-0337;000040;000040;3;233,7
2;70-0338;000040;000040;3;233,7
2;CO-N2334;000040;000040;9;21,85
2;CO-N2336;000040;000040;9;21,85
2;CO-N2338;000040;000040;9;21,85
2;CO-N2340;000040;000040;9;21,85
2;CO-N2342;000040;000040;6;21,85
2;CO-N2344;000040;000040;6;21,85
2;CO-N2346;000040;000040;6;21,85
2;CO-T2330;000040;000040;9;24,7
2;CO-T2332;000040;000040;9;24,7
2;CO-T2334;000040;000040;9;24,7
2;CO-T2336;000040;000040;9;24,7
2;CO-T2338;000040;000040;9;24,7
2;CO-T2340;000040;000040;9;24,7
2;CO-T2342;000040;000040;6;24,7
2;CO-T2344;000040;000040;6;24,7
2;CO-T2346;000040;000040;6;24,7
2;80-0362;000040;000040;3;34,2
2;80-0363;000040;000040;6;46,2
2;80-0592;000040;000040;3;80,4
2;80-0822;000040;000040;3;148,8
2;80-0825;000040;000040;3;148,2
2;80-0826;000040;000040;3;55,2
2;10100001;000040;000040;1;4176,9
2;10100018;000040;000040;2;152,1
2;10170051;000040;000040;1;40,5
2;10170052;000040;000040;1;40,5
2;10170053;000040;000040;1;40,5
2;10170054;000040;000040;1;40,5
2;10170060;000040;000040;1;28,8
2;30-2314;000040;000040;30;46,55
2;30-2316;000040;000040;45;46,55
2;30-2318;000040;000040;45;46,55
2;30-2320;000040;000040;45;46,55
2;30-2322;000040;000040;30;46,55
2;30-2324;000040;000040;30;46,55
2;30-2326;000040;000040;30;46,55
2;30-2328;000040;000040;30;46,55
2;80-0751;000040;000040;15;69,6
2;80-0762;000040;000040;15;64,2
2;80-0763;000040;000040;15;47,4
2;80-0868;000040;000040;15;18,6
2;80-1008;000040;000040;15;312,6
2;80-1009;000040;000040;15;75
2;80-1010;000040;000040;15;47,4
2;80-1356;000040;000040;15;106,2
